Question,Answer
F uh  C so  on a whole I do not know war is not good  ,F Uh  I know that all the things that happened relative to that territory in Alaska have been very positive F uh  
C So  F um  thats definitely a problem  ,Uhhuh 
Yeah  ,C So  we are planning on going two or three times a week laughter 
Just based on  the sheer numbers of  F uh  the disparity of  cough E excuse me  Democrats and Republicans in Congress hed think that it would have to have been F um  ,and go D Well  what the heck well talk for a while 
 we  I  just started yesterday ,pretty good people sniffing 
C and  ,Uhhuh 
I dont know ,Uhhuh 
 They cant  even afford to take off D you know  to have children it seems like ,Exactly  
 and cut around a window  ,Yeah  
I know laughter ,C But   its a pleasure to  like you said its good to  get outside  
Laughter I have a girlfriend that every time her son starts taking things for granted she threatens to send him to Mexico with her relatives  and  let him get a taste of that  for a while laughter  ,C and  its got  
F Um   she  F uh  she  was just  more or less  in a  in a  nursing home for F uh  recovery from a broken hip ,F Oh  no 
Yeah  ,F Uh  lot of stuff that actually has F uh  ended up becoming popular like F uh  Nirvana and F uh  F oh  D you know   
Yeah ,C So  
 I think most people want to be lack of better  term  terminology  they want to be selfemployed  ,its pretty amazing 
 F Oh  my  ,Uhhuh 
Oh  ,C and 
C and    we will  we will   we will   play D you know   ,Laughter Can you imagine  the    D like  a  big picture of John Travolta  tada what is it SATURDAY NIGHT FEVER  
Huhuh  , C and so   this is D like  my first job  
I   suspect a number of them  ,there was F uh  several other companies 
 Laughter C and so  we thought D you know    there  there was   it was  broken ,C and  F oh  the smell E I mean  
No  ,Uhhuh  
Yeah  ,Right 
inhaling C And  she really liked the idea  of  of  moving there  ,I start to rebel  
Laughter,C and  we do things together 
Yeah  ,Uhhuh 
 D you know   ,I havent  
D like  for a long time my husband didnt want to walk cause he wants to F uh  jog  ,  They  F uh 
Uhhuh , wh d   what do  you  plan    have planned  for your yard 
  thats  thats   thats  bogus , C but      F uh  C and   we just had soup and salad  so we could make room for the dessert  laughter 
Sometimes I just  ,C and  I thought I better do some simple things and  work up to this 
thats going to lower our national expenditures  ,didnt have to pay any income tax  
I like to sit down and have my F uh  order taken ,Byebye 
D You know    we  weve  always been to a lot of  weve always gone to a lot of   movies in our life  , your  pan 
do you have that ,C But  I guess most of the hou  
Not that I dont like reporting  ,Throatclearing
Babytalking,F Uh  I think that they thought that there was a lot of drug usage here at T I  
I dont hit a driver off the tee  , Uhhuh  
F Oh  okay ,Really  
D Well    ye  yeah   ,All right  
  You  you   you  know about August then ,Uhhuh 
I didnt know what I wanted to do after I got  my  my  degree ,Yeah  
 Yeah  ,Babycrying talks to her baby  Go talk to Daddy about it 
In fact I did one BILL THE CAT  D you know  from   Glenn County   ,Its  
 F Oh  how neat  ,C And  F uh  thats about it 
Yeah  ,You think youre getting your moneys worth 
C but  its agricultural ,you dont have a lot of time 
C and   weve really gotten to like  ,Yeah 
D Well  not really  , they do 
Laughter,is Coppell a nice area to live 
no  ,C And so  every couple of weeks we  will go to the movies because thats how often they change the
C or  I can ,Im really from Kentucky 
C So    Sometimes it seems to be cheaper too  ,he borrowed some money  
F Oh  right  ,And so i i its I think i to me I think uh something thats going to help our medical uh arena is for um  
to see that  ,I was just too lazy that trip to do all that walking
 C and then  on  , which in a lot of big cities  
from New Mexico ,yeah 
C and  what you do to make it you take the shell and you spread the beans on first  ,the ceasefire 
It helps a bunch ,if you purchase on your credit card 
C But  F uh  I bought it for target practicing  and  F uh  and  also because I wanted a weapon  ,F Uh  about twenty 
C but  its  not  just  D you know  horrible,C and  Im hoping that by D you know   
F Uh  D well  I think all college players have to do an initial drug test at a certain point prior to the season  ,D You know  
C And  its like  ,Uhhuh 
F Oh   I  I  start  ,F Uh  I guess partly because of our climate  
C So  he is trying to get D you know  things fixed on it ,C and  I do half  
I know mine  changes   F uh  has changed F uh   ,they sort of took over the F um   
F Uh  ,C And   yeah  
C and   she was  D you know  she was   pretty good most of the way  ,Anyway D well  it was nice to talk to you 
F Uh  not really  ,C but  theyre
Except our outside       though ,No  
C and then  the houses were left unguarded F uh   ,Danny Glover Scott Glen Kevin Kline F um  Brian  Dennehy   Jeff Goldblums in  
Right throatclearing  ,they are going with their farm system  
D Well  lets see  ,Uhhuh  
Uhhuh , from  not being able to stay up here that 
 that  ,C but  theyre just about to get too tall laughter
 I  I   remember whenever I was growing up often times spent with my Dad was F oh  just wonderful D you know   go ,  I  I    I   think I agree with you there 
Yeah ,People in jeans and in whatever  
That is an intriguing type of book to  be reading and trying to keep up on things like that ,C And  I said my goodness  
Okay beep  ,C and then  they also go into the wines D you know  
Hence is possible error as you  can see in all the IRONSIDES, I  I  F um  clean houses parttime 
C and then  then   they decided it was a case of mistaken identity or something  ,Uhhuh pause  
bye ,the next thing you know well just stop a random amount of motorists  
D Well  I tell you its kind of funny now  at    e  even  at T I I dont  ,I looked in every day care there was 
 two or three years maximum you should be able to  know  ,Uhhuh  
 C and   F uh  C and   thats kind of frightening  ,F uh  theres no doubt about the fact that when I was first graduated from college the impression was that a womans career would consist of a childbearing years and perhaps a return to the office but not necessarily  
Yeah  ,Were not quite through  
F Uh  course  I  I  still  work two parttime jobs laughter ,C and  F uh  its really  D you know   
Uhhuh ,and there were five of us  
C So  I always thought when I have kids D you know  I really want to be involved with them ,   C and   on  C and   on   C and  on    C and   all this wonderful mess  
I served  ,no  
Oh ,traumatized for life here 
Uhhuh  ,I couldnt go by myself 
Definitely ,that sounds nice 
Uhhuh , h  have  you ever read the book NINETEEN EIGHTYFOUR 
but they are sort of wearing out  ,F Oh  yeah  
H M O ,  I  I   dont know all the details 
C because  they F uh  allow  for F uh  F uh  tuition F uh  break for out of state students ,I think the first one is called JENNY or something like that F uh  because that was her name  
It should be I think a flat percentage  ,C And   F uh  U N L V wasnt  used to that  
And I dont think that is that is uh abnormal in any means to be doing things like that  ,Uhhuh 
Theres some serious talk about whether theres actually going to be a a Canada you know in the next five years,that  was the topic 
C and  they put your D you know   ,We dont have I guess too much trouble in Dallas with  
F Oh  I dont know ,thats not why I go   
Are you in Texas now ,in  the role of priest  
F Huh  ,Yes  
Thats what were trying to get ours to look like ,You have to have the contractor sign with you 
C So  what else to you tape besides AMERICAN GLAD at  ,Uhhuh 
Yeah , and  and  the chemistry in those kinds of areas  
 She  even though she  is a hundred and two she still has all of her faculties ,Okay 
Breathing Yeah  , C and  using the leftover turkey 
D Well  I think the latest soap opera for people is the Kennedy trial for those who have cable ,F Oh  thats
Plastic  cr   cans  and glass,E I mean  first of all   we were  weve  already hit the largest deficit  this proposed budget has the largest deficit  ever  
I really didnt like it at all ,D well  lets see  
its just a point that I have observed that we , Theyre  theyre  nice and green D you know   
C So  its almost all glass ,Click Static Yeah  
It upset me to realize  that hey the recycling  that theyre going through the expense of recycling    ,Oh 
definitely laughter , The ticket   the ch  the cheapest  ticket  you can normally get is like six fifty to seven fifty 
F Oh   it is  ,I probably would have had second thoughts 
