Question,Answer
{C and } that was a no no. /,"Right,  /"
I don't really like dressing up at all. /,"{C so } # we, {F uh } # -- -/"
Yeah. /,"{D Well, }"
"[ [ Every, + every ] dollar we, + every dollar we ] charge is a mile for our frequent flier mileage. /",Right.  /
"{D Well } {D see, } I started saving newspapers  /","{C But } I haven't really sat down and used it match yet,  /"
I don't know.  {F Um. } /,"it's coach pitch, until you get nine --"
Uh-huh. /,Exactly. /
"You have got four hours of day light, good skiing left. /","{F Oh, } you're kidding <laughter>. /"
they've got to have them there to be able to milk them.  /,"{F Oh, } absolutely. /"
{C but } they were there close  /,"Uh, I had done what diagnosis I could, primarily by looking at a wiring diagram that I did have of the car --"
Yeah. /,"The guy that's doing most of [ my, + my ] car now,  {F uh, } goes to my church  /"
"{C So, } social changes <laughter>  aren't that much for me either. /","Yeah,  /"
"{F Uh, } I wouldn't swear to it myself. /",# <Laughter>. #
Yeah. /,all right I said they have the choice  /
"[  It was, + it was ] a lot of fun. /",Ooh. /  *[[slash error]]
"{F Um, } been with T I like twelve,  /",{C but } I'm rusty now. /
"{F Uh, }","{C And } [ y-, + you ] want people out of prison  /"
Yeah. /,{C but } that's okay  ((   )) <laughter>. /
"It's an [ interesting, + interesting ] thing you want to do.  /","Especially in the theater it was contagious, {D you know } -- /"
I sure don't <laughter>. /,"Yeah,  /"
"{F Oh, } it was terrible.  /",It will. /
"{F Um, } that sounds good. /","I don't know if you're familiar with that operation,  /"
"{D well, } you, -/","They don't need to be out there [ and, + ] {F uh, } {D you know, } constantly flaunting their ego to get things accomplished. /"
"{C And } I thought, {D well, } that's good.  /","All right,  /"
[ {C but } -- +,Does that give a pretty good overview of everything  /
"they're putting in fifty, sixty hours a week,  /","I was [ over, + over ] four years doing language surveying which is the first step.  /"
"He fights it every single year,  /",I don't know.  /
Uh-huh. /,{C but } I think it's a very long day. /
Um. /,"{F Oh, } really.  /"
"Yeah,  /","{C and }  [ he, + he  ] likes some of the new groups like Shenandoah, /"
do you ] work? /,<Inhaling>  {C But } I think that one was one that --
Have you? /,"right now, - /"
"Whoa, okay! /","You have [ to, + to ] prove that you're teaching them something.  /"
"{F Um, } do you go to the operas that they sing English or go to the ones that they sing other languages? /","I know my brother's home has been flooded a couple of times, {F uh, } /"
"{C and } it's actually very inexpensive,  /",{C So. } -/
"[ {C But } +  {F um, }  {C so } ]  you haven't had a problem with that, since? /","-- the ] ice maker [ was, + {F uh, } had ] to have a new pump,  /"
"Uh-huh,  /","First at eight, I think we had - /"
"{C and } I gue-, - /","[ I don-, + I don't ] know if you've ever made them, maybe not since you don't have  kids yet, but those Jell-O, {F uh, } gelatin things you can pick  up with your fingers, I can't think of what they call it. /"
{C so } it was really easy for me to get quite a bit of exercise swimming  /,So am I. /
Yeah.  /,"{F Um, } {D well } I really enjoyed, {F um, } - /"
True.  /,Uh-huh. /
{C and } the other half the time I just ignore it/,"[ I'm, + I ] work for T I. /"
-- that wants to come here.  /,"[ if he, + if he ]  thinks it's going to be two hours, it's four if, {D you know, } whatever,  it always takes him twice as long.  /"
{C but } you take the kids out  /,{F Oh } yeah. /
"[ h-, + what ] do the trends in  families  /",I just don't know. /
<Laughter>.,{C so } I have to share it with her.  /
You look at consumer reports.  /,"-- in the past, {F uh, } now that it has gone off <laughter>. /"
he thought it was not ... -/,"{C but, } {F uh, } maybe it is or isn't, I suppose. /"
"{C And } I'd heard it was really good, too  /","{C and } it has such  a different sound to it, anyway.  /"
"-- {F uh, } /",Uh-huh. /
<Laughter>.,"{C so } [ [ that, +  it, ] +   it's ] really neat,  /"
"{C So } it's, {F um, } real easy access [ from, + from ] south of Baltimore [ like, + {F um, } like ]  the airport or more importantly for the Orioles from Washington D C. /","you can't let them grow up the way, the way I grew up, you know.  /"
what causes the most air pollution is probably the car -- /,"{D Well, } it, - /"
those are things you don't really have  much control over. /,-- on the ] twin. /
# Right. # /,-- and to the zoo and museum.  /
"# How [ to use, + # {D you know, } to make ] sure the guns <talking> are put up [ as something + # as # --","although [ he, + ] {D you know, } the more complex your structure the, {F uh, } less difficult it is to kind of carry some things through -- /"
Uh-huh. /,"{D Well, } I do remember demonstrations over busing. /"
"{C so } it's nice [ to, + to ] get away.  /","Right,  /"
-- no problem -- /,Now that's good.  /
Yes <laughter>.,"it's really different because [ that's kind of the, +   {D you know, } that's the ] chalk hills down there,"
"Yes,  /",{C and } how old are you? /
Absolutely. /,Uh-huh.  /
"{D Well, } {E I mean, } there's so  many places here, {D you know, }  /",That's the one.  /
"{F Uh, } I prefer OPRAH WINFREY --",Yeah. /
{C And } you can't do that as adults.  /,"{C and } I anticipate the same thing with  the Honda whenever I decide to sell it,  /"
Really.  /,"{C but } I've got, {D you know, }  one of [ [ the tex-, + the, ] + the ] instant teller cards --"
-- with a bunch of red splotches all across it. /,Uh-huh. /
Not very often at all.  /,"Do you have a preference if you were going to,"
Yeah. /,Oh  <laughter>. /
"# looking # at gray walls.  {D You know, }","{C So, }  it's a small problem so far,  /"
due the twenty-fifth. /,"before I go to work, I tape my soap opera. /"
{C And } we have had just wonderful luck with ours.  /,Uh-huh. /
Will they make it through the summer sun? /,"{D You know, } {C but } still if you  realize that, {F uh, } one barrel has {D {D like, } how much was it, {D like, } } {F um } forty gallons, /"
Thanks for calling. /,Oh. /
I do a lot of my own patterns also. /,"{C and } you're thinking {F oh, } <laughter>  that's nice. /"
"[ {C Or } the, + {C or } the ]  jackets, the team like the Raiders --",Okay.   /
# Uh-huh. # /,{C but } you have to have a need.  /
Thirty day notice for what? /,right. /
"{C and, } {F uh, } -/",Yeah  /
"{D Well, } we only did that once.  /","{C And } that scares me # [ the, +  the ]  thought of forcing <talking> somebody to do something. # /"
"{D You know, } {E I mean, } I just don't believe it.  /",That's right.  /
"{C and,","[ {C And } I, + {C and } I ] think that I don't.  /"
Against your will. /,<Laughter>.
Right. /,"I don't know,  /"
"{C But, } while they were there they set back <laughter>, drank about four or five cups of coffee apiece and made snowmen on the hoods of their vehicles --","-- yeah,  /"
"{C and, } {F uh, } <lipsmack> she had a baby.  /",# <Laughter>. #
"-- {C and } we had a two bedroom mobile home there,  /","All the more reason to, {F uh, } have [ a, + a ] Honda. /"
", it's a whole hour show.  /",Uh-huh.  /
"{C But, } {F uh, } {F uh, } the, {F uh, } - /","{C And then, } ultimately, they say, no  /"
"{F Uh, } {D you know } college credit, {D you know, }  something, {D you know, } /",What kind of lawn and garden work do you do?  <noise>. /
Really. /,"{C but } beyond that, {F uh, } lately I've been reading, - /"
{C and } I've seen so  many elderly people.  /,Yeah. # /
"{D Well, } all right,  /",{C And } we make experts by reading books. /
"{C but, } I'm sure they will.  /",{C and } they came and questioned us. /
{C and } you're not even tired. /,That's right. /
Bye-bye. /,As well as hot lunch  /
"{C But } when I went more rural,  {D you know, } [ that, +  it ] really changed. /",Most people haven't heard of Bruce Williams.  /
"{C But } if [ they, + they ] have their wits about them and everything, {D why, } it's kind of hard <laughter>. /","{F Uh, } /"
"{C and } we do some teaching  of sailing with the scouts,  /",it's {D like }  about maybe - /
"{F Uh, } I hope so <laughter>. /","{D Well, } we don't have any children,  /"
"{C So, } I don't know if I, - /",No income tax and no sales tax. /
Now they're starting to recycle that stuff. /,Wild flowers. /
"{C And } I just thought it was so strange,  /","[ [ it's, + {F uh, } it's, ] + {F uh, } it's, ] {F uh, } - /"
It's a two door.  /,"{D So } how serious is the,"
"{F Oh, } I don't know, [ they're, + they're ] not as nice looking. /","Uh-huh, {D you know, }  /"
# Yeah. # /,{F Um. } /
"{F Uh, } the college ranks,  {F um, } I guess I really, - /","{F Oh, } I would have liked to have  a kid with me, I think, preferably someone seven or eight --"
I like jazz music  /,Okay. /
"{C But, }  {F uh, } <lipsmack> let's see,  /","[ {C And s-, } +"
"{F Uh, } [ the other, + the other ] thing that, {F uh, } bothers me about our system is just that, {F uh, } [ [ [ [ [ in, + for, ] + for, ] + in, ] + in, ] + in ] Congress the amount of power [ any, +  any ] particular Congress critter has is based on their seniority  and how long they've been there  /",Yeah. /
Yeah. /,"It's like, {D you know, } hey,  everybody has to be free to do their own thing.  /"
Uh-huh. /,"{C and, } I'm an American,  /"
"{C so }  right outside the back door, I've got the two burlap bags hung up for the cans and bottles, /","{C and } I've always, {F uh, } - /"
"Yeah,  /",I guess the question in my mind somewhat - /
"it is fun to watch some real disciplined teams play [ in, + in  ] college. /","{C but, }  {F uh } --"
Exactly. /,"{F um, } it doesn't really have to matter,  /"
"No,  /","{F Oh, } [ it's a, + it's a ] lure. /"
"I really do,  /",I really do. /
"properly, and conform to what employers want. /",I am so happy not to be part of Dallas --
I don't either. /,I like that.  /
"# [ [ By, + # by ] + by ] saying {D well, }  [ this, + [ doing  th-, + ] <noise> this ] particular crime in this particular way is a capital crime now. /","{C but } I figured [ if the, + if the ] criminals had to take a hunting gun <laughter> out to kill somebody, more than likely, somebody would see it, {A you know # what I'm saying } # --"
Yeah <laughter>. /,"#  I could see that,"
You're kidding <laughter>. /,# Uh-huh. #  /
"{D Well, } our public schools [ are, + are ] really poor, I feel. /","{C but } I went there recently,  /"
"# Yeah,  /",# That's okay.  # /
"It sure d-, -/","# whatever they spent it on, they have to pay tax on. /"
"We got her from the, {F uh, } Humane Society when she was a puppy.  /","{F Oh, } my word. /"
the previews looked so good <<pause>> that I wanted to see it  /,<Sniffing> Right. /
{C and } --,"{D Well, } {D see } [ {C and, } + {C and } ] that is, {F uh, } the sort of the thing of the nineties is --"
Okay.  /,She has two little boys. /
"{F uh, } {C so } on a whole, I do not know, war is not good.  /","{F Uh, } I know that all the things that happened, relative to that territory in Alaska have been very positive, {F uh, } /"
"{C So, } {F um, } that's definitely a problem.  /",Uh-huh. /
"Yeah,  /","{C So, } we are planning on going two or three times a week <laughter>. /"
"Just based on [ the sheer numbers of, + {F uh, } the disparity of, ] <cough> {E excuse me, } Democrats and Republicans in Congress he'd think that it would have to have been, {F um. } /","and go, {D Well, } what the heck, we'll talk for a while. /"
"[ we, + I ] just started yesterday. /",pretty good people <sniffing>. -/
"{C and, } -/",Uh-huh. /
I don't know. /,Uh-huh. /
"# They can't # even afford to take off, {D you know, } to have children it seems like. /",Exactly.  /
-- and cut around a window -- /,"Yeah,  /"
I know <laughter>. /,"{C But } [ it's a pleasure to, + like you said, it's good to ] get outside,  /"
<Laughter> I have a girlfriend that every time her son starts taking things for granted she threatens to send him to Mexico with her relatives  and  let him get a taste of that # for a while <laughter>. # /,"{C and } it's got, - /"
"{F Um, } [ she, + {F uh, } she ] was just  more or less [ in a, + in a ] nursing home for, {F uh, } recovery from a broken hip --","{F Oh, } no. /"
Yeah.  /,"{F Uh, } lot of stuff that actually has, {F uh, } ended up becoming popular like, {F uh, } Nirvana and, {F uh, } {F oh, } {D you know, } - /"
Yeah. /,"{C So, } -/"
"-- I think most people want to be, lack of better [ term-, + terminology, ] they want to be self-employed,  /",it's pretty amazing. /
# {F Oh } my. # /,Uh-huh. /
Oh.  /,"{C and, }"
"{C and } [ [ we will, + we will, ] + we will ]  play, {D you know. }  /","<Laughter> Can you imagine [ the, +   {D like } a ] big picture of John Travolta,  ta-da, what is it SATURDAY NIGHT FEVER?  /"
